run_id,request_msg_id,uav_id,ugv_id,role,outcome,failure_reason,request_time,decision_time,dock_start_time,charge_end_time,terminal_time,decision_latency_ms,waiting_time_ms,charge_duration_ms,effective_wait_ms,charge_completed,request_battery,start_battery,end_battery,energy_recovered,preempted_flag,preempt_count,decision_policy,decision_priority,decision_tte_sec,decision_score,decision_rank_index,decision_queue_size,decision_ctrl_pdr,decision_ctrl_delay_mean_ms,decision_ctrl_delay_p95_ms,decision_ctrl_drop_reasons
ugv_dynamic,uav1_charge_req_1937,uav1,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30386.5,false,39.4264,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav2_charge_req_312,uav2,ugv_1,0,ROUTING_DROP,WEATHER_DROP,1.77185e+09,1.77185e+09,0,-1,1.77185e+09,2672.8,-1,-1,6.67334,false,32.5286,-1,-1,-1,false,0,dynamic,0,63.8685,68.0929,0,1,1,4.75393,6.38404,
ugv_dynamic,uav1_charge_req_223,uav1,ugv_1,0,STARTED,,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,7138.95,8005.43,218027,8005.43,true,41.8323,39.3102,100,60.6898,false,0,dynamic,0,79.2408,60.3859,0,1,1,2.4732,2.4732,
ugv_dynamic,uav1_charge_req_1585,uav1,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30089.2,false,28.1421,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav2_charge_req_881,uav2,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30977.2,false,32.0194,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav2_charge_req_866,uav2,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30971.5,false,32.0194,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav3_charge_req_727,uav3,ugv_1,0,ROUTING_DROP,WEATHER_DROP,1.77185e+09,1.77185e+09,0,-1,1.77185e+09,8823.35,-1,-1,6556.01,false,36.9248,-1,-1,-1,false,0,dynamic,0,68.9019,65.5753,0,1,1,4.85676,9.8226,
ugv_dynamic,ch1_charge_req_1442,ch1,ugv_1,1,STARTED,,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,2203.64,2982.98,342257,2982.98,true,18.4298,17.6865,100,82.3135,false,0,dynamic,1,73.7192,86.5857,0,1,1,230.731,1228.52,
ugv_dynamic,ch1_charge_req_933,ch1,ugv_1,1,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30109.2,false,18.3432,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,ch0_charge_req_901,ch0,ugv_1,1,STARTED,,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,295.205,1000.78,290000,1000.78,true,30.4659,30.2066,100,69.7934,false,0,dynamic,1,121.863,74.5627,0,1,1,5.1563,10.0437,
ugv_dynamic,uav3_charge_req_1286,uav3,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30521.1,false,36.1973,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,ch0_charge_req_353,ch0,ugv_1,1,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30725.6,false,30.5884,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,ch0_charge_req_336,ch0,ugv_1,1,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30737.1,false,30.5884,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav1_charge_req_693,uav1,ugv_1,0,STARTED,,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,2136.81,2995.77,218008,2995.77,true,40.5237,39.6023,100,60.3977,false,0,dynamic,0,79.8194,60.0971,0,1,1,6.29744,10.2648,
ugv_dynamic,uav3_charge_req_250,uav3,ugv_1,0,STARTED,,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,2317.9,3015.74,232974,3015.74,true,34.8644,33.9715,100,66.0285,false,0,dynamic,0,68.5377,65.7593,0,1,1,4.48984,6.30482,
ugv_dynamic,uav2_charge_req_1890,uav2,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30992.8,false,15.6814,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,ch1_charge_req_387,ch1,ugv_1,1,ROUTING_DROP,WEATHER_DROP,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,17518.7,false,18.458,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav2_charge_req_1365,uav2,ugv_1,0,STARTED,,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,529.199,1006.6,236925,1006.6,true,31.7538,31.4573,100,68.5427,false,0,dynamic,0,63.5076,68.2967,0,1,1,4.54923,9.60153,
ugv_dynamic,uav1_charge_req_1139,uav1,ugv_1,0,STARTED,,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,4629.61,4996.93,218923,4996.93,true,41.0482,39.5898,100,60.4102,false,0,dynamic,0,79.7618,60.1253,0,1,1,4.54164,9.38045,
ugv_dynamic,uav1_charge_req_1627,uav1,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30024.6,false,28.1421,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav2_charge_req_894,uav2,ugv_1,0,ROUTING_DROP,WEATHER_DROP,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30009.7,false,32.0194,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav3_charge_req_1216,uav3,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30522.2,false,36.1973,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav3_charge_req_1241,uav3,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30484.3,false,36.1973,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav3_charge_req_1254,uav3,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30475.3,false,36.1973,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav3_charge_req_1269,uav3,ugv_1,0,ROUTING_DROP,WEATHER_DROP,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,23.7808,false,36.1973,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,ch0_charge_req_1603,ch0,ugv_1,1,STARTED,,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,1.77185e+09,291.351,961.854,303693,961.854,true,30.4474,27.5204,100,72.4796,false,0,dynamic,1,111.057,77.2633,0,1,1,207.98,1127.05,WEATHER_DROP:1
ugv_dynamic,uav3_charge_req_1674,uav3,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30728.6,false,34.3727,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,ch0_charge_req_1587,ch0,ugv_1,1,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30515.5,false,30.4474,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav2_charge_req_1914,uav2,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,30671.1,false,15.6814,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
ugv_dynamic,uav2_charge_req_1938,uav2,ugv_1,0,TIMEOUT,NO_DECISION,1.77185e+09,0,0,-1,1.77185e+09,-1,-1,-1,53480.4,false,15.6814,-1,-1,-1,false,0,,-1,-1,-1,-1,-1,-1,-1,-1,
