run_id,flow_type,control_type,generated,delivered,dropped,pdr,delay_mean_ms,delay_p95_ms,jitter_ms,throughput_bps,generated_bps,qos_score
ugv_dynamic,1,HEARTBEAT,12913,3385,834,0.262139,3.9371,12.6034,5.59106,0,0,0.637968
ugv_dynamic,1,RESPAWN_COMPLETED,85,4,1,0.0470588,13.5319,46.004,18.0401,0.711764,15.552,0.524768
ugv_dynamic,1,DEPLOYMENT_ACK,19,17,2,0.894737,2.73129,12.1246,3.99213,0,0,0.970914
ugv_dynamic,1,DEPLOYMENT_CMD,82,25,11,0.304878,3048.88,4763.18,3173.79,0.83256,2.86878,0.183292
ugv_dynamic,0,SEARCH_TELEMETRY,685,106,365,0.154745,9826.07,36207.9,5784.97,10.2018,63.4782,0.0892793
ugv_dynamic,1,CHARGE_REQUEST,55,28,17,0.509091,11717.2,66974.8,8322.38,0,0,0.274265
ugv_dynamic,1,EMERGENCY_RECOVERY_COMPLETE,269,148,33,0.550186,6.79451,26,8.5321,89.2599,161.329,0.789572
ugv_dynamic,1,ACK,25,25,0,1,5.37461,25.2309,4.48121,8.07342,8.07342,1
ugv_dynamic,1,STATUS_CH,456,347,49,0.760965,2.53339,9.15306,4.9347,8.13153,10.6988,0.900508
ugv_dynamic,1,MOTION_START,6,6,0,1,5.54303,9.01196,1.16147,0,0,1
ugv_dynamic,1,FAILURE_EVENT,85,4,0,0.0470588,7.0522,16.1275,6.55375,0.132587,2.82359,0.524768
ugv_dynamic,1,EMERGENCY_RETURN_TRIGGERED,270,149,30,0.551852,6.12061,26.9264,8.28702,4339.45,7857.6,0.790448
ugv_dynamic,1,TASK_RELEASE,8,8,1,1,602.673,2402.23,1028.12,0.247398,0.247398,0.609283
ugv_dynamic,1,CHARGE_DECISION,12,10,1,0.833333,207.98,1127.05,455.468,1.23477,1.48216,0.749041
