run_id,flow_type,control_type,generated,delivered,dropped,pdr,delay_mean_ms,delay_p95_ms,jitter_ms,throughput_bps,generated_bps,qos_score
ugv_edf,1,HEARTBEAT,39637,24919,5974,0.62868,2.59241,7.28694,2.90944,0,0,0.830884
ugv_edf,1,DEPLOYMENT_ACK,80,68,7,0.85,1.17045,5.67862,1.75962,0,0,0.947368
ugv_edf,1,RESPAWN_COMPLETED,19,8,2,0.421053,0.487362,2.52903,0.555654,0.0592558,0.140733,0.721607
ugv_edf,1,STATUS_CH,3167,2434,398,0.768551,1.36969,4.80218,2.55969,53.6806,70.9129,0.9045
ugv_edf,1,MOTION_START,6,6,0,1,10.6469,18.0448,2.52815,0,0,1
ugv_edf,1,CHARGE_REQUEST,158,152,59,0.962025,6340.76,23375.9,10293.1,0,0,0.510434
ugv_edf,1,EMERGENCY_RECOVERY_COMPLETE,844,386,97,0.457346,1.84592,6.78079,1.79634,9.05577,19.5929,0.740708
ugv_edf,1,ACK,146,146,0,1,3.10539,8.03817,2.19697,2.15173,2.15173,1
ugv_edf,1,TASK_RELEASE,8,8,1,1,1.9645,4.91369,1.21182,7.18141,7.18141,1
ugv_edf,1,CHARGE_DECISION,96,91,22,0.947917,537.527,2512.96,899.232,10.9534,11.5549,0.621646
ugv_edf,0,SEARCH_TELEMETRY,3704,599,2299,0.161717,7115.23,34586.5,4543.02,55.7753,344.093,0.095748
ugv_edf,1,DEPLOYMENT_CMD,91,91,30,1,234.329,2499.54,247.555,3.205,3.205,0.796445
ugv_edf,1,FAILURE_EVENT,19,10,0,0.526316,2.00536,5.72813,2.82468,0.333314,0.633296,0.777008
ugv_edf,1,EMERGENCY_RETURN_TRIGGERED,844,386,101,0.457346,2.10039,7.70395,2.0573,4.28864,9.37723,0.740708
