run_id,time,window_sec,window_generated,window_delivered,window_dropped,window_pdr,window_delay_mean_ms,window_delay_p95_ms,window_jitter_ms,ctrl_charge_req_generated,ctrl_charge_req_delivered,ctrl_charge_req_pdr,ctrl_charge_dec_generated,ctrl_charge_dec_delivered,ctrl_charge_dec_pdr
ugv_fcfs,1.77181e+09,10,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,1,0,0,0,-1,-1,-1,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,13,5,0,0.384615,7.60602,9.82565,2.57204,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,18,9,0,0.5,5.33307,9.58582,2.55894,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,29,20,0,0.689655,253.783,2494.26,263.922,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,36,26,0,0.722222,195.7,1873.2,201.113,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,41,30,0,0.731707,170.186,1376.45,173.958,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,47,35,0,0.744681,288.792,2494.36,442.185,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,58,45,0,0.775862,225.446,1997.45,342.111,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,63,49,12,0.777778,207.276,1500.65,313.898,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,63,49,12,0.777778,207.276,1500.65,313.898,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,72,56,12,0.777778,181.585,631.246,274.217,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,76,60,11,0.789474,169.587,134.446,255.726,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,71,54,9,0.760563,2.92071,8.92841,2.3613,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,71,54,8,0.760563,2.87666,8.92841,2.37108,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,65,47,6,0.723077,2.54072,7.46753,2.24383,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,66,50,5,0.757576,98.7357,9.57385,100.289,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,65,49,4,0.753846,100.522,8.42295,102.088,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,63,48,2,0.761905,102.574,8.46418,104.341,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,59,42,1,0.711864,116.697,9.42556,119.5,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,58,40,20,0.689655,122.4,129.324,125.541,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,58,40,20,0.689655,122.4,129.324,125.541,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,54,36,18,0.666667,135.707,608.28,139.636,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,52,35,17,0.673077,139.508,728.019,143.738,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,48,34,12,0.708333,2.48167,7.41598,3.19225,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,46,33,11,0.717391,2.49396,7.58284,3.28138,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,44,32,8,0.727273,2.5797,7.7497,3.28428,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,29,7,0.690476,2.51965,8.59933,3.48041,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,29,6,0.690476,28.7279,11.8067,30.6352,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,45,29,5,0.644444,28.6949,11.8067,57.5386,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,28,2,0.666667,29.4156,11.1292,59.4301,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,30,12,0.714286,27.5382,10.5125,55.2945,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,42,30,12,0.714286,27.5382,10.5125,55.2945,0,0,-1,0,0,-1
ugv_fcfs,1.77181e+09,10,40,31,7,0.775,26.8396,10.2041,53.6665,0,0,-1,0,0,-1
