run_id,flow_type,control_type,generated,delivered,dropped,pdr,delay_mean_ms,delay_p95_ms,jitter_ms,throughput_bps,generated_bps,qos_score
ugv_role_priority,1,TASK_RELEASE,1,1,0,1,1.12058,1.12058,-1,41.8765,41.8765,0.8
ugv_role_priority,1,STATUS_CH,2,2,0,1,2.28851,4.32332,4.5218,25.2839,25.2839,1
ugv_role_priority,1,MOTION_START,6,4,0,0.666667,8.54916,10.755,1.3485,0,0,0.850877
ugv_role_priority,1,DEPLOYMENT_CMD,9,9,1,1,230.607,1214.05,255.183,263628,263628,0.79937
ugv_role_priority,1,ACK,1,1,0,1,1.42527,1.42527,-1,15.8024,15.8024,0.8
ugv_role_priority,0,,3,0,0,0,-1,-1,-1,0,0,0
ugv_role_priority,1,DEPLOYMENT_ACK,6,6,0,1,5.88651,13.3678,6.44632,0,0,1
ugv_role_priority,1,HEARTBEAT,42,42,0,1,2.68218,7.8815,2.67672,0,0,1
ugv_role_priority,0,SEARCH_TELEMETRY,10,2,8,0.2,35939.2,41612.8,12607.9,26.2168,146.358,0.107726
ugv_role_priority,1,CHARGE_REQUEST,1,1,1,1,0.019245,0.019245,-1,0,0,0.8
ugv_role_priority,1,CHARGE_DECISION,1,1,0,1,4.58485,4.58485,-1,4.73837,4.73837,0.8
ugv_role_priority,1,EMERGENCY_RETURN_TRIGGERED,1,1,0,1,2.42347,2.42347,-1,0.41323,0.41323,0.8
ugv_role_priority,1,EMERGENCY_RECOVERY_COMPLETE,3,3,0,1,5.28639,10.5495,4.70193,2.47667,2.47667,1
ugv_role_priority,1,RESPAWN_COMPLETED,1,1,0,1,2.8088,2.8088,-1,0.234988,0.234988,0.8
ugv_role_priority,1,FAILURE_EVENT,1,1,0,1,3.06639,3.06639,-1,1.05745,1.05745,0.8
ugv_role_priority,1,MOTION_START,6,4,0,0.666667,8.54916,10.755,1.3485,0,0,0.850877
ugv_role_priority,1,HEARTBEAT,44396,18444,4612,0.415443,5383.16,34888.3,5094.59,0,0,0.231763
ugv_role_priority,1,RESPAWN_COMPLETED,50,24,4,0.48,839.287,2.8318,1750.71,0.0536224,0.111713,0.329833
ugv_role_priority,1,DEPLOYMENT_ACK,6,6,0,1,5.88651,13.3678,6.44632,0,0,1
ugv_role_priority,0,,3581,0,1565,0,-1,-1,-1,0,0,0
ugv_role_priority,1,STATUS_CH,4243,2495,400,0.588027,2455.97,31525.4,4705.44,11.0621,23.1108,0.336044
ugv_role_priority,0,SEARCH_TELEMETRY,1878,167,1073,0.0889244,32553.5,71969,11686.7,4.36732,52.1129,0.0495011
ugv_role_priority,1,DEPLOYMENT_CMD,27,23,5,0.851852,4682.07,34969.5,5388.53,0.227895,0.267218,0.463014
ugv_role_priority,1,EMERGENCY_RECOVERY_COMPLETE,1981,772,215,0.389702,1156.1,20.1597,1200.95,5.46568,13.8587,0.265332
ugv_role_priority,1,ACK,90,90,0,1,26474.6,42239.9,5472.7,0.389209,0.389209,0.504094
ugv_role_priority,1,CHARGE_REQUEST,63,63,55,1,478634,437111,942623,0,0,0.500136
ugv_role_priority,1,EMERGENCY_RETURN_TRIGGERED,1981,783,224,0.395255,1787.37,14087.4,1785.93,2.62415,6.63912,0.247197
ugv_role_priority,1,FAILURE_EVENT,50,27,0,0.54,3195.62,27731.5,4257.17,0.271463,0.502486,0.305335
ugv_role_priority,1,TASK_RELEASE,1,1,0,1,1.12058,1.12058,-1,0.0118416,0.0118416,0.8
ugv_role_priority,1,CHARGE_DECISION,8,7,0,0.875,1873.58,7943.8,3348.61,0.3676,0.420201,0.495537
ugv_role_priority,1,MOTION_START,6,4,0,0.666667,8.54916,10.755,1.3485,0,0,0.850877
ugv_role_priority,1,HEARTBEAT,44396,18444,4612,0.415443,5383.16,34888.3,5094.59,0,0,0.231763
ugv_role_priority,1,RESPAWN_COMPLETED,50,24,4,0.48,839.287,2.8318,1750.71,0.0536221,0.111713,0.329833
ugv_role_priority,1,DEPLOYMENT_ACK,6,6,0,1,5.88651,13.3678,6.44632,0,0,1
ugv_role_priority,0,,3581,0,1565,0,-1,-1,-1,0,0,0
ugv_role_priority,1,STATUS_CH,4243,2495,400,0.588027,2455.97,31525.4,4705.44,11.062,23.1107,0.336044
ugv_role_priority,0,SEARCH_TELEMETRY,1878,167,1073,0.0889244,32553.5,71969,11686.7,4.36729,52.1126,0.0495011
ugv_role_priority,1,DEPLOYMENT_CMD,27,23,5,0.851852,4682.07,34969.5,5388.53,0.227894,0.267217,0.463014
ugv_role_priority,1,EMERGENCY_RECOVERY_COMPLETE,1981,772,215,0.389702,1156.1,20.1597,1200.95,5.46565,13.8586,0.265332
ugv_role_priority,1,ACK,90,90,0,1,26474.6,42239.9,5472.7,0.389207,0.389207,0.504094
ugv_role_priority,1,CHARGE_REQUEST,63,63,55,1,478634,437111,942623,0,0,0.500136
ugv_role_priority,1,EMERGENCY_RETURN_TRIGGERED,1981,783,224,0.395255,1787.37,14087.4,1785.93,2.62413,6.63908,0.247197
ugv_role_priority,1,FAILURE_EVENT,50,27,0,0.54,3195.62,27731.5,4257.17,0.271462,0.502484,0.305335
ugv_role_priority,1,TASK_RELEASE,1,1,0,1,1.12058,1.12058,-1,0.0118415,0.0118415,0.8
ugv_role_priority,1,CHARGE_DECISION,8,7,0,0.875,1873.58,7943.8,3348.61,0.3676,0.420201,0.495537
